fund_symbol,fund_short_name,fund_long_name,fund_category,fund_family,fund_return_1year,fund_return_3years,fund_return_5years,fund_return_10years,fund_return_last_bull_market,fund_return_last_bear_market
AABQX,,American Century One Choice Blend+ 2025 Portfolio A Class,Target-Date 2025,American Century Investments,0.2505,0.0911,0.0783,0.0785,0.1668,-0.159
AABRX,,American Century One Choice Blend+ 2025 Portfolio R Class,Target-Date 2025,American Century Investments,0.2505,0.0911,0.0783,0.0785,0.1668,-0.159
AABTX,American Fds 2015 Target Date R,American Funds 2015 Target Date Retirement Fund Class A,Target-Date 2015,American Funds,0.1447,0.0889,0.0715,0.0744,0.1281,-0.0898
AABVX,,American Century One Choice Blend+ 2025 Portfolio R6 Class,Target-Date 2025,American Century Investments,0.2505,0.0911,0.0783,0.0785,0.1668,-0.159
AABWX,,American Century One Choice Blend+ 2030 Portfolio Investor Class,Target-Date 2030,American Century Investments,0.2505,0.0911,0.0783,0.0785,0.1668,-0.159
AABYX,,American Beacon AHL TargetRisk Core Fund Y Class,World Allocation,American Beacon,0.2505,0.0911,0.0783,0.0785,0.1668,-0.159
AABZX,,American Century One Choice Blend+ 2030 Portfolio A Class,Target-Date 2030,American Century Investments,0.2505,0.0911,0.0783,0.0785,0.1668,-0.159
AACBX,"Cavanal Hill Active Core Fund, ",Cavanal Hill Active Core Fund Class C,Allocation--50% to 70% Equity,Cavanal Hill funds,0.1777,0.0963,0.0709,0.0785,0.1357,-0.096
AACCX,American Century Strategic Allo,American Century Strategic Allocation: Conservative Fund C Class,Allocation--30% to 50% Equity,American Century Investments,0.1669,0.0895,0.0632,0.0594,0.1155,-0.0734
AACDX,American Century Strategic Allo,American Century Strategic Allocation: Conservative Fund R6 Class,Allocation--30% to 50% Equity,American Century Investments,0.1848,0.1047,0.0778,0.0785,0.1224,-0.0705
AACFX,Invesco Greater China Fund Cl A,Invesco Greater China Fund Class A,China Region,Invesco,-0.0952,0.0256,0.0741,0.0466,0.1668,-0.2993
AACGX,American Century Strategic Allo,American Century Strategic Allocation: Conservative Fund R5 Class,Allocation--30% to 50% Equity,American Century Investments,0.1827,0.1035,0.0783,0.0785,0.1224,-0.0705
AACHX,,American Century One Choice Blend+ 2030 Portfolio R Class,Target-Date 2030,American Century Investments,0.2505,0.0911,0.0783,0.0785,0.1668,-0.159
AACIX,American Beacon Mid-Cap Value F,American Beacon Mid-Cap Value Fund R5 Class,Mid-Cap Value,American Beacon,0.5907,0.0857,0.0863,0.1125,0.297,-0.2207
AACJX,,American Century One Choice Blend+ 2030 Portfolio R6 Class,Target-Date 2030,American Century Investments,0.2505,0.0911,0.0783,0.0785,0.1668,-0.159
AACKX,,American Century One Choice Blend+ 2035 Portfolio Investor Class,Target-Date 2035,American Century Investments,0.2505,0.0911,0.0783,0.0785,0.1668,-0.159
AACLX,,American Century One Choice Blend+ 2035 Portfolio I Class,Target-Date 2035,American Century Investments,0.2505,0.0911,0.0783,0.0785,0.1668,-0.159
AACMX,,American Century One Choice Blend+ 2035 Portfolio A Class,Target-Date 2035,American Century Investments,0.2505,0.0911,0.0783,0.0785,0.1668,-0.159
AACOX,"Opportunistic Fund, Class C Sha",Cavanal Hill Opportunistic Fund Class C,Allocation--70% to 85% Equity,Cavanal Hill funds,0.239,0.0581,0.0567,0.0785,0.2552,-0.159
AACPX,,American Century One Choice Blend+ 2035 Portfolio R Class,Target-Date 2035,American Century Investments,0.2505,0.0911,0.0783,0.0785,0.1668,-0.159
AACQX,,American Century One Choice Blend+ 2035 Portfolio R6 Class,Target-Date 2035,American Century Investments,0.2505,0.0911,0.0783,0.0785,0.1668,-0.159
AACRX,American Century Strategic Allo,American Century Strategic Allocation: Conservative Fund R Class,Allocation--30% to 50% Equity,American Century Investments,0.1738,0.0958,0.0688,0.0648,0.1198,-0.0712
AACSX,,American Century One Choice Blend+ 2040 Portfolio Investor Class,Target-Date 2040,American Century Investments,0.2505,0.0911,0.0783,0.0785,0.1668,-0.159
AACTX,American Fds 2020 Target Date R,American Funds 2020 Target Date Retirement Fund Class A,Target-Date 2020,American Funds,0.151,0.0932,0.0763,0.0813,0.148,-0.1127
AACUX,,American Century One Choice Blend+ 2040 Portfolio I Class,Target-Date 2040,American Century Investments,0.2505,0.0911,0.0783,0.0785,0.1668,-0.159
AACVX,,American Century One Choice Blend+ 2040 Portfolio A Class,Target-Date 2040,American Century Investments,0.2505,0.0911,0.0783,0.0785,0.1668,-0.159
AACWX,,American Century One Choice Blend+ 2040 Portfolio R Class,Target-Date 2040,American Century Investments,0.2505,0.0911,0.0783,0.0785,0.1668,-0.159
AACZX,,American Century One Choice Blend+ 2040 Portfolio R6 Class,Target-Date 2040,American Century Investments,0.2505,0.0911,0.0783,0.0785,0.1668,-0.159
AADAX,Invesco Select Risk: Growth Inv,Invesco Select Risk: Growth Investor Fund Class A,Allocation--70% to 85% Equity,Invesco,0.2874,0.1056,0.0858,0.08,0.1735,-0.1355
AADBX,American Beacon Balanced Fund I,American Beacon Balanced Fund R5 Class,Allocation--50% to 70% Equity,American Beacon,0.2955,0.097,0.0845,0.0949,0.1825,-0.1107
AADCX,Invesco Select Risk: Growth Inv,Invesco Select Risk: Growth Investor Fund Class C,Allocation--70% to 85% Equity,Invesco,0.2782,0.0973,0.0776,0.0719,0.1693,-0.1386
AADEX,American Beacon Large Cap Value,American Beacon Large Cap Value Fund R5 Class,Large Value,American Beacon,0.4558,0.1106,0.1005,0.1202,0.2684,-0.1954
AADGX,Aasgard Small & Mid-Cap Fund,Aasgard Small & Mid-Cap Fund No Load Class,Mid-Cap Blend,Aasgard,0.2955,0.0928,0.0783,0.0785,0.1668,-0.159
AADHX,,American Century One Choice Blend+ 2045 Portfolio Investor Class,Target-Date 2045,American Century Investments,0.2505,0.0911,0.0783,0.0785,0.1668,-0.159
AADIX,Invesco Select Risk: Growth Inv,Invesco Select Risk: Growth Investor Fund Class R5,Allocation--70% to 85% Equity,Invesco,0.2923,0.1093,0.0896,0.0837,0.1751,-0.1341
AADJX,,American Century One Choice Blend+ 2045 Portfolio I Class,Target-Date 2045,American Century Investments,0.2505,0.0911,0.0783,0.0785,0.1668,-0.159
AADNX,,American Century One Choice Blend+ 2050 Portfolio Investor Class,Target-Date 2050,American Century Investments,0.2505,0.0911,0.0783,0.0785,0.1668,-0.159
AADPX,,American Century One Choice Blend+ 2050 Portfolio A Class,Target-Date 2050,American Century Investments,0.2505,0.0911,0.0783,0.0785,0.1668,-0.159
AADRX,Invesco Select Risk: Growth Inv,Invesco Select Risk: Growth Investor Fund Class R,Allocation--70% to 85% Equity,Invesco,0.2847,0.1028,0.0831,0.0773,0.1726,-0.1367
AADTX,American Fds 2025 Target Date R,American Funds 2025 Target Date Retirement Fund Class A,Target-Date 2025,American Funds,0.1749,0.1055,0.0872,0.0931,0.1785,-0.1443
AADUX,,American Century One Choice Blend+ 2050 Portfolio R6 Class,Target-Date 2050,American Century Investments,0.2505,0.0911,0.0783,0.0785,0.1668,-0.159
AADVX,,American Century One Choice Blend+ 2055 Portfolio Investor Class,Target-Date 2055,American Century Investments,0.2505,0.0911,0.0783,0.0785,0.1668,-0.159
AADYX,Invesco Select Risk: Growth Inv,Invesco Select Risk: Growth Investor Fund Class Y,Allocation--70% to 85% Equity,Invesco,0.2917,0.1084,0.0886,0.0826,0.1749,-0.1348
AAECX,,American Beacon AHL TargetRisk Core Fund C Class,World Allocation,American Beacon,0.2505,0.0911,0.0783,0.0785,0.1668,-0.159
AAEEX,,American Century One Choice Blend+ 2055 Portfolio R6 Class,Target-Date 2055,American Century Investments,0.2505,0.0911,0.0783,0.0785,0.1668,-0.159
AAEFX,,American Century One Choice Blend+ 2060 Portfolio Investor Class,Target-Date 2060+,American Century Investments,0.2505,0.0911,0.0783,0.0785,0.1668,-0.159
AAEGX,,American Century One Choice Blend+ 2060 Portfolio I Class,Target-Date 2060+,American Century Investments,0.2505,0.0911,0.0783,0.0785,0.1668,-0.159
AAEHX,,American Century One Choice Blend+ 2060 Portfolio A Class,Target-Date 2060+,American Century Investments,0.2505,0.0911,0.0783,0.0785,0.1668,-0.159
AAEIX,,American Century One Choice Blend+ 2060 Portfolio R Class,Target-Date 2060+,American Century Investments,0.2505,0.0911,0.0783,0.0785,0.1668,-0.159
AAEJX,,American Century One Choice Blend+ 2060 Portfolio R6 Class,Target-Date 2060+,American Century Investments,0.2505,0.0911,0.0783,0.0785,0.1668,-0.159
AAEKX,,American Century One Choice Blend+ 2065 Portfolio Investor Class,,American Century Investments,0.2505,0.0911,0.0783,0.0785,0.1668,-0.159
AAELX,,American Century One Choice Blend+ 2065 Portfolio I Class,,American Century Investments,0.2505,0.0911,0.0783,0.0785,0.1668,-0.159
AAEMX,"The Alger Fds II, Alger Emergin",Alger Emerging Markets Fund Class A,Diversified Emerging Mkts,Alger,0.2945,0.1435,0.1053,0.0527,0.1595,-0.2773
AAENX,Strategic Enhanced Yield Fund C,Cavanal Hill Strategic Enhanced Yield Fund Class A,Multisector Bond,Cavanal Hill funds,-0.0088,0.0466,0.0783,0.0785,0.1668,-0.159
AAEOX,,American Century One Choice Blend+ 2065 Portfolio A Class,,American Century Investments,0.2505,0.0911,0.0783,0.0785,0.1668,-0.159
AAERX,American Beacon International E,American Beacon International Equity Fund Class R6,Foreign Large Value,American Beacon,0.3113,0.0358,0.0783,0.0785,0.1516,-0.2512
AAESX,Invesco Select Risk: Growth Inv,Invesco Select Risk: Growth Investor Fund Class R6,Allocation--70% to 85% Equity,Invesco,0.2932,0.1093,0.0783,0.0785,0.1751,-0.1341
AAETX,American Fds 2030 Target Date R,American Funds 2030 Target Date Retirement Fund Class A,Target-Date 2030,American Funds,0.2086,0.1153,0.0977,0.1026,0.1904,-0.1583
AAEUX,,American Century One Choice Blend+ 2065 Portfolio R Class,,American Century Investments,0.2505,0.0911,0.0783,0.0785,0.1668,-0.159
AAEVX,,American Century One Choice Blend+ 2065 Portfolio R6 Class,,American Century Investments,0.2505,0.0911,0.0783,0.0785,0.1668,-0.159
AAEWX,,American Century One Choice Blend+ 2030 Portfolio I Class,Target-Date 2030,American Century Investments,0.2505,0.0911,0.0783,0.0785,0.1668,-0.159
AAFTX,American Fds 2035 Target Date R,American Funds 2035 Target Date Retirement Fund Class A,Target-Date 2035,American Funds,0.2554,0.1316,0.1112,0.1113,0.1925,-0.162
AAGOX,Alger Portfolios - Alger Growth,Alger Large Cap Growth Portfolio Class I-2,Large Growth,Alger,0.4261,0.2881,0.1943,0.1744,0.2432,-0.1671
AAGPX,American Beacon Large Cap Value,American Beacon Large Cap Value Fund Investor Class,Large Value,American Beacon,0.4518,0.1071,0.0969,0.1164,0.2666,-0.1968
AAHMX,Aberdeen Short Duration High Yi,Aberdeen Short Duration High Yield Municipal Fund Class A,High Yield Muni,Aberdeen,0.0609,0.0353,0.032,0.0785,0.1668,-0.159
AAHTX,American Fds 2045 Target Date R,American Funds 2045 Target Date Retirement Fund Class A,Target-Date 2045,American Funds,0.2888,0.1419,0.1194,0.1171,0.1949,-0.165
AAIBX,Cavanal Hill Moderate Duration ,Cavanal Hill Moderate Duration Fund Class A,Short-Term Bond,Cavanal Hill funds,0.015,0.0359,0.0222,0.0288,0.0288,0.0166
AAIEX,American Beacon Intl Equity Fun,American Beacon International Equity Fund R5 Class,Foreign Large Value,American Beacon,0.3116,0.0353,0.0379,0.0486,0.1516,-0.2512
AAIIX,Ancora Income Fund Class I,Ancora Income Fund Class I,Intermediate Core-Plus Bond,Ancora,0.1534,0.0677,0.0586,0.0553,0.0676,0.01
AAINX,Thrivent Opportunity Income Plu,Thrivent Opportunity Income Plus Fund Class A,Multisector Bond,Thrivent Funds,0.049,0.0401,0.0359,0.0334,0.0397,0.0207
AAIPX,American Beacon International E,American Beacon International Equity Fund Investor Class,Foreign Large Value,American Beacon,0.3069,0.0318,0.0343,0.045,0.1486,-0.2519
AAISX,American Beacon International E,American Beacon International Equity Fund Advisor Class,Foreign Large Value,American Beacon,0.3056,0.0304,0.0331,0.0436,0.1468,-0.2524
AALIX,AMG Managers Herndon Large Cap ,Cavanal Hill Hedged Income Fund Class A,Large Blend,Cavanal Hill funds,0.2505,0.0911,0.0783,0.0785,0.1668,-0.159
AALRX,American Beacon Large Cap Value,American Beacon Large Cap Value Fund Class R6,Large Value,American Beacon,0.4563,0.111,0.0783,0.0785,0.2684,-0.1954
AALTX,American Fds 2050 Target Date R,American Funds 2050 Target Date Retirement Fund Class A,Target-Date 2050,American Funds,0.294,0.1438,0.1209,0.118,0.1942,-0.1641
AAMAX,Absolute Capital Asset Allocato,Absolute Capital Asset Allocator Fund Class A,Tactical Allocation,Absolute Capital,0.1827,0.0596,0.0783,0.0785,0.1668,-0.159
AAMBX,Thrivent Municipal Bond Fund C,Thrivent Municipal Bond Fund Class A,Muni National Long,Thrivent Funds,0.0438,0.0498,0.0354,0.0401,0.0533,0.0622
AAMCX,Absolute Capital Asset Allocato,Absolute Capital Asset Allocator Fund Investor Class,Tactical Allocation,Absolute Capital,0.1736,0.0519,0.0783,0.0785,0.1668,-0.159
AAMIX,Absolute Capital Asset Allocato,Absolute Capital Asset Allocator Fund Institutional Class,Tactical Allocation,Absolute Capital,0.1827,0.0601,0.0783,0.0785,0.1668,-0.159
AAMOX,The Alger Portfolios - Alger We,Alger Weatherbie Specialized Gr Prt I-2,Mid-Cap Growth,Alger,0.4176,0.2669,0.2024,0.1698,0.2955,-0.26
AAMTX,American Funds 2055 Target Date,American Funds 2055 Target Date Retirement Fund Class A,Target-Date 2055,American Funds,0.2942,0.1436,0.1209,0.118,0.1956,-0.165
AANTX,American Funds 2060 Target Date,American Funds 2060 Target Date Retirement Fund Class A,Target-Date 2060+,American Funds,0.2949,0.1435,0.1206,0.0785,0.1668,-0.159
AAOPX,Cavanal Hill Opportunistic Fd C,Cavanal Hill Opportunistic Fund Class A,Allocation--70% to 85% Equity,Cavanal Hill funds,0.2482,0.0662,0.0647,0.0785,0.2603,-0.159
AAOTX,American Funds 2065 Target Date,American Funds 2065 Target Date Retirement Fund Class A,,American Funds,0.2942,0.0911,0.0783,0.0785,0.1668,-0.159
AASCX,Thrivent Mid Cap Stock Fund Cl,Thrivent Mid Cap Stock Fund Class A,Mid-Cap Blend,Thrivent Funds,0.5003,0.1589,0.1593,0.1458,0.2534,-0.2591
AASMX,Thrivent Small Cap Stock Fund ,Thrivent Small Cap Stock Fund Class A,Small Blend,Thrivent Funds,0.6478,0.1664,0.1516,0.1354,0.2653,-0.2763
AASOX,Alger Portfolios - Alger SmallC,Alger Small Cap Growth Portfolio Class I-2,Small Growth,Alger,0.2897,0.2646,0.1908,0.1588,0.2864,-0.267
AASRX,American Beacon Small Cap Value,American Beacon Small Cap Value Fund R6 Class,Small Value,American Beacon,0.5883,0.0735,0.0783,0.0785,0.3015,-0.2638
AASSX,American Beacon Small Cap Value,American Beacon Small Cap Value Fund Advisor Class,Small Value,American Beacon,0.5791,0.068,0.0861,0.1014,0.2977,-0.2653
AASTX,Cavanal Hill Limited Duration F,Cavanal Hill Limited Duration Fund Class A,Short-Term Bond,Cavanal Hill funds,0.0054,0.0306,0.0191,0.0194,0.0192,0.0106
AATIX,Ancora/Thelen Small Mid-Cap Fun,Ancora/Thelen Small-Mid Cap Fund Class I,Small Blend,Ancora,0.59,0.1201,0.111,0.0785,0.1668,-0.159
AATSX,Ancora/Thelen Small-Mid Cap Fun,Ancora/Thelen Small-Mid Cap Fund Class S,Small Blend,Ancora,0.5943,0.123,0.1143,0.0785,0.1668,-0.159
AAUSX,Ultra Short Tax-Free Income Fun,Cavanal Hill Ultra Short Tax-Free Income Fund Class A,Muni National Short,Cavanal Hill funds,-0.0019,0.003,0.0783,0.0785,0.1668,-0.159
AAUTX,Thrivent Large Cap Value Fund C,Thrivent Large Cap Value Fund Class A,Large Value,Thrivent Funds,0.4542,0.1126,0.1086,0.1181,0.2512,-0.2159
AAWEX,Cavanal Hill World Energy Fund ,Cavanal Hill World Energy Fund A,Equity Energy,Cavanal Hill funds,0.4837,-0.019,0.0101,0.0785,0.1668,-0.159
AAWVX,MID CAP CORE EQUITY FUND - CLAS,Cavanal Hill Mid Cap Diverse Leadership Fund Class A,Mid-Cap Blend,Cavanal Hill funds,0.4095,0.1369,0.0783,0.0785,0.1668,-0.159
AAZAX,AB Municipal Income Fund II - A,AB Municipal Income Fund II Arizona Portfolio Class A,Muni Single State Interm,AllianceBernstein,0.0466,0.0434,0.0366,0.0389,0.0521,0.0498
AAZCX,AB Municipal Income Fund II - A,AB Municipal Income Fund II Arizona Portfolio Class C,Muni Single State Interm,AllianceBernstein,0.0397,0.0357,0.0289,0.0314,0.0477,0.047
AAZYX,Alger Mid Cap Focus Fund Class ,AB Municipal Income Fund II Arizona Portfolio Advisor Class,Muni Single State Interm,AllianceBernstein,0.2505,0.0911,0.0783,0.0785,0.0521,0.0498
ABAEX,"AB Cap Fund, Inc. - AB Emerging",AB Emerging Markets Multi-Asset Portfolio Class A,Diversified Emerging Mkts,AllianceBernstein,0.1779,0.0791,0.0687,0.0785,0.1448,-0.13
ABALX,"American Balanced Fund, Class A",American Funds American Balanced Fund Class A,Allocation--50% to 70% Equity,American Funds,0.1982,0.1141,0.1003,0.1055,0.1747,-0.0996
ABASX,AB Trust - AB Discovery Value F,AB Discovery Value Fund Class A,Small Value,AllianceBernstein,0.615,0.0838,0.0944,0.1083,0.2733,-0.2656
ABCAX,American Beacon The London Comp,American Beacon The London Company Income Equity Fund A Class,Large Value,American Beacon,0.2961,0.1434,0.1116,0.0785,0.1668,-0.159
ABCCX,American Beacon Balanced Fund C,American Beacon Balanced Fund C Class,Allocation--50% to 70% Equity,American Beacon,0.2826,0.0856,0.073,0.0828,0.1742,-0.1151
ABCEX,"AB Cap Fund, Inc. - AB Emerging",AB Emerging Markets Multi-Asset Portfolio Class C,Diversified Emerging Mkts,AllianceBernstein,0.17,0.0714,0.0609,0.0785,0.1404,-0.131
ABCIX,American Beacon The London Comp,American Beacon The London Company Income Equity Fund R5 Class,Large Value,American Beacon,0.2999,0.147,0.1153,0.0785,0.1668,-0.159
ABCRX,American Beacon The London Comp,American Beacon The London Company Income Equity Fund Class R6,Large Value,American Beacon,0.2505,0.0911,0.0783,0.0785,0.1668,-0.159
ABCSX,AB Trust - AB Discovery Value F,AB Discovery Value Fund Class C,Small Value,AllianceBernstein,0.6029,0.0757,0.0862,0.1002,0.2678,-0.268
ABCVX,American Beacon The London Comp,American Beacon The London Company Income Equity Fund Investor Class,Large Value,American Beacon,0.2953,0.1431,0.1117,0.0785,0.1668,-0.159
ABCYX,American Beacon The London Comp,American Beacon The London Company Income Equity Fund Y Class,Large Value,American Beacon,0.2992,0.1463,0.1146,0.0785,0.1668,-0.159
ABDAX,Columbia Capital Allocation Con,Columbia Capital Allocation Conservative Portfolio Class A,Allocation--15% to 30% Equity,Columbia Threadneedle,0.0775,0.0634,0.0478,0.0459,0.0752,-0.0416
ABECX,American Beacon The London Comp,American Beacon The London Company Income Equity Fund C Class,Large Value,American Beacon,0.2862,0.1347,0.1032,0.0785,0.1668,-0.159
ABEIX,Aberdeen Intermediate Municipal,Aberdeen Intermediate Municipal Income Fund Institutional Class,Muni National Interm,Aberdeen,0.0477,0.0413,0.029,0.0339,0.0494,0.0538
ABEMX,"Aberdeen Emerging Markets Fund,",Aberdeen Emerging Markets Fund Institutional Class,Diversified Emerging Mkts,Aberdeen,0.2862,0.1273,0.0928,0.0513,0.2064,-0.1806
ABESX,Aberdeen Intermediate Municipal,Aberdeen Intermediate Municipal Income Fund Institutional Services Class,Muni National Interm,Aberdeen,0.0477,0.0421,0.0291,0.0785,0.0494,0.0538
ABEYX,American Beacon International E,American Beacon International Equity Fund Class Y,Foreign Large Value,American Beacon,0.3103,0.0344,0.0371,0.0477,0.1509,-0.2513
ABFAX,American Beacon Balanced Fund A,American Beacon Balanced Fund Class A,Allocation--50% to 70% Equity,American Beacon,0.2914,0.0937,0.0809,0.0907,0.1791,-0.1124
ABGNX,American Century Balanced Fund ,American Century Balanced Fund R5 Class,Allocation--50% to 70% Equity,American Century Investments,0.196,0.1186,0.0783,0.0785,0.1661,-0.082
ABHFX,"American Fds, American Income ",American High-Income Municipal Bond Fund Class F-1,High Yield Muni,American Funds,0.0964,0.0642,0.0554,0.0621,0.0782,0.0681
ABHIX,American Century High-Yield Bon,American Century High-Yield Fund Investor Class,High Yield Bond,American Century Investments,0.0907,0.0594,0.0517,0.0526,0.1379,-0.0784
ABHTX,American Century Government Bon,American Century Government Bond Fund I Class,Intermediate Government,American Century Investments,-0.0064,0.0496,0.0783,0.0785,0.0152,0.0551
ABHYX,American Century High-Yield Mun,American Century High Yield Municipal Fund Investor Class,High Yield Muni,American Century Investments,0.1039,0.0659,0.058,0.0603,0.0773,0.0774
ABIAX,AB Trust - AB International Val,AB International Value Fund Class A,Foreign Large Value,AllianceBernstein,0.3169,0.0125,0.0272,0.0286,0.1175,-0.2793
ABICX,AB Trust - AB International Val,AB International Value Fund Class C,Foreign Large Value,AllianceBernstein,0.3069,0.0048,0.0195,0.021,0.1132,-0.2818
ABIEX,"AB Cap Fund, Inc. - AB Emerging",AB Emerging Markets Multi-Asset Portfolio Class I,Diversified Emerging Mkts,AllianceBernstein,0.181,0.0818,0.0712,0.0785,0.1465,-0.13
ABIMX,AB Corporate Shares - AB Impact,AB Impact Municipal Income Shares,Muni National Long,AllianceBernstein,0.0743,0.0717,0.0783,0.0785,0.1668,-0.159
ABINX,American Century Balanced Fund ,American Century Balanced Fund I Class,Allocation--50% to 70% Equity,American Century Investments,0.1959,0.1186,0.0934,0.0967,0.1672,-0.0811
ABIYX,AB Trust - AB International Val,AB International Value Fund Advisor Class,Foreign Large Value,AllianceBernstein,0.3205,0.0149,0.0299,0.0314,0.1191,-0.2786
ABIZX,AMG Managers Fairpointe Mid Cap,AMG River Road Mid Cap Value Fund - Class Z,Mid-Cap Value,AMG Funds,0.4361,0.0723,0.0783,0.0785,0.2725,-0.2574
ABKEX,"AB Cap Fund, Inc. - AB Emerging",AB Emerging Markets Multi-Asset Portfolio Class K,Diversified Emerging Mkts,AllianceBernstein,0.1784,0.0796,0.069,0.0785,0.1448,-0.13
