fund_symbol,fund_short_name,fund_long_name,fund_category,fund_family,fund_return_1year,fund_return_3years,fund_return_5years,fund_return_10years,fund_sharpe_ratio_5years,fund_treynor_ratio_5years
AFIF,American Fds 2010 Target Date R,American Funds 2010 Target Date Retirement Fund Class A,Multisector Bond,American Funds,0.0043,0.0864,0.08785,0.0542,0.6,9.4
AFK,American Century Strategic Allo,American Century Strategic Allocation: Aggressive Fund R6 Class,Miscellaneous Region,American Century Investments,0.3845,0.0155,0.0514,-0.0075,0.28,3
AFLG,DWS RREEF Real Assets Fund - Cl,DWS RREEF Real Assets Fund - Class R6,Large Blend,DWS,0.363,0.0864,0.08785,0.0542,0.6,9.4
AFMC,DWS RREEF Real Assets Fund - Cl,DWS RREEF Real Assets Fund - Class T,Mid-Cap Blend,DWS,0.5131,0.0864,0.08785,0.0542,0.6,9.4
AFSM,DWS RREEF Real Assets Fund - Cl,DWS RREEF Real Assets Fund - Class Inst,Small Blend,DWS,0.5871,0.0864,0.08785,0.0542,0.6,9.4
AFTY,Cavanal Hill Active Core Fd Cl ,Cavanal Hill Active Core Fund Class A,China Region,Cavanal Hill funds,0.402,0.1782,0.169,0.0542,0.84,17.19
AGGP,Putnam Dynamic Asset Allocation,Putnam Dynamic Asset Allocation Balanced Fund Class C,,Putnam,0.0375,0.029,0.08785,0.0542,0.6,9.4
AGGY,,American Century One Choice Blend+ 2020 Portfolio A Class,Intermediate-Term Bond,American Century Investments,-0.0038,0.0561,0.032,0.0542,0.52,1.77
AGNG,Thrivent Balanced Income Plus F,Thrivent Balanced Income Plus Fund Class A,Health,Thrivent Funds,0.2524,0.1455,0.1567,0.0542,0.92,16.22
AGOX,,American Century One Choice Blend+ 2020 Portfolio R Class,Tactical Allocation,American Century Investments,0.353,0.0864,0.08785,0.0542,1.09,10.8
AGQ,,American Century One Choice Blend+ 2020 Portfolio R6 Class,Trading--Leveraged Commodities,American Century Investments,0.5725,0.1585,-0.0066,-0.1786,0.24,-0.46
AGZ,,American Century One Choice Blend+ 2025 Portfolio Investor Class,Short Government,American Century Investments,-0.0044,0.0418,0.0236,0.023,0.57,2.05
AGZD,,American Century One Choice Blend+ 2025 Portfolio I Class,Nontraditional Bond,American Century Investments,0.0197,0.0197,0.0217,0.0542,0.52,15.91
AIA,Cavanal Hill Bond Fd Cl A Shs,Cavanal Hill Bond Fund Class A,Pacific/Asia ex-Japan Stk,Cavanal Hill funds,0.4311,0.1572,0.1775,0.0929,1.02,18.28
AIEQ,American Beacon Balanced Fund I,American Beacon Balanced Fund Investor Class,Large Growth,American Beacon,0.4736,0.1793,0.08785,0.0542,0.6,9.4
AIIQ,,American Century One Choice Blend+ 2025 Portfolio A Class,,American Century Investments,0.3208,0.0864,0.08785,0.0542,0.6,9.4
AIRR,,American Century One Choice Blend+ 2025 Portfolio R Class,Industrials,American Century Investments,0.6947,0.1545,0.1778,0.0542,0.77,12.6
ALFA,American Fds 2015 Target Date R,American Funds 2015 Target Date Retirement Fund Class A,,American Funds,0.418,0.1899,0.1822,0.0542,0.94,15.33
ALTL,,American Century One Choice Blend+ 2025 Portfolio R6 Class,Large Value,American Century Investments,0.7044,0.0864,0.08785,0.0542,0.6,9.4
ALTS,,American Century One Choice Blend+ 2030 Portfolio Investor Class,,American Century Investments,0.144,0.0317,0.025,0.0542,0.25,3.76
ALTY,,American Beacon AHL TargetRisk Core Fund Y Class,Allocation--70% to 85% Equity,American Beacon,0.371,0.0586,0.0647,0.0542,0.36,2.65
AMER,,American Century One Choice Blend+ 2030 Portfolio A Class,,American Century Investments,0.353,0.0864,0.08785,0.0542,0.6,9.4
AMJ,"Cavanal Hill Active Core Fund, ",Cavanal Hill Active Core Fund Class C,Energy Limited Partnership,Cavanal Hill funds,0.6301,-0.0159,-0.0186,0.0026,0.12,-1.53
AMLP,American Century Strategic Allo,American Century Strategic Allocation: Conservative Fund C Class,Energy Limited Partnership,American Century Investments,0.6381,-0.0155,-0.025,-0.001,0.1,-1.91
AMND,American Century Strategic Allo,American Century Strategic Allocation: Conservative Fund R6 Class,Energy Limited Partnership,American Century Investments,0.353,0.0864,0.08785,0.0542,0.6,9.4
AMOM,Invesco Greater China Fund Cl A,Invesco Greater China Fund Class A,Large Growth,Invesco,0.536,0.0864,0.08785,0.0542,0.6,9.4
AMTR,American Century Strategic Allo,American Century Strategic Allocation: Conservative Fund R5 Class,,American Century Investments,0.353,0.0864,0.08785,0.0542,0.6,9.4
AMZA,,American Century One Choice Blend+ 2030 Portfolio R Class,Energy Limited Partnership,American Century Investments,0.8041,-0.1568,-0.1024,0.0542,0.06,-4.07
ANEW,American Beacon Mid-Cap Value F,American Beacon Mid-Cap Value Fund R5 Class,,American Beacon,0.353,0.0864,0.08785,0.0542,0.6,9.4
ANGL,,American Century One Choice Blend+ 2030 Portfolio R6 Class,High Yield Bond,American Century Investments,0.2017,0.1029,0.0906,0.0542,0.89,10.26
AOA,,American Century One Choice Blend+ 2035 Portfolio Investor Class,Allocation--70% to 85% Equity,American Century Investments,0.31,0.1223,0.121,0.0959,0.94,8.65
AOK,,American Century One Choice Blend+ 2035 Portfolio I Class,Allocation--30% to 50% Equity,American Century Investments,0.1134,0.0797,0.0656,0.0544,1.01,9.82
AOM,,American Century One Choice Blend+ 2035 Portfolio A Class,Allocation--30% to 50% Equity,American Century Investments,0.1517,0.0884,0.0769,0.0629,1,9.48
AOR,"Opportunistic Fund, Class C Sha",Cavanal Hill Opportunistic Fund Class C,Allocation--50% to 70% Equity,Cavanal Hill funds,0.2296,0.1061,0.099,0.0808,0.97,8.98
APRZ,,American Century One Choice Blend+ 2035 Portfolio R Class,,American Century Investments,0.353,0.0864,0.08785,0.0542,0.6,9.4
AQWA,,American Century One Choice Blend+ 2035 Portfolio R6 Class,Natural Resources,American Century Investments,0.353,0.0864,0.08785,0.0542,0.6,9.4
ARB,American Century Strategic Allo,American Century Strategic Allocation: Conservative Fund R Class,,American Century Investments,0.0856,0.0864,0.08785,0.0542,0.6,9.4
ARCM,,American Century One Choice Blend+ 2040 Portfolio Investor Class,Ultrashort Bond,American Century Investments,-0.0012,0.0154,0.08785,0.0542,0.6,9.4
ARGT,American Fds 2020 Target Date R,American Funds 2020 Target Date Retirement Fund Class A,Miscellaneous Region,American Funds,0.2997,0.0571,0.0758,0.0133,0.36,4
ARKF,,American Century One Choice Blend+ 2040 Portfolio I Class,Technology,American Century Investments,0.7198,0.0864,0.08785,0.0542,0.6,9.4
ARKG,,American Century One Choice Blend+ 2040 Portfolio A Class,Health,American Century Investments,0.7883,0.5,0.426,0.0542,1.18,27.22
ARKK,,American Century One Choice Blend+ 2040 Portfolio R Class,Mid-Cap Growth,American Century Investments,0.8641,0.4538,0.4865,0.0542,1.39,30.88
ARKQ,,American Century One Choice Blend+ 2040 Portfolio R6 Class,Technology,American Century Investments,0.8383,0.3718,0.3645,0.0542,1.34,25.75
ARKW,Invesco Select Risk: Growth Inv,Invesco Select Risk: Growth Investor Fund Class A,Technology,Invesco,0.8395,0.471,0.5182,0.0542,1.63,35.94
ARKX,American Beacon Balanced Fund I,American Beacon Balanced Fund R5 Class,,American Beacon,0.353,0.0864,0.08785,0.0542,0.6,9.4
ARMR,Invesco Select Risk: Growth Inv,Invesco Select Risk: Growth Investor Fund Class C,Large Blend,Invesco,0.4258,0.0864,0.08785,0.0542,0.6,9.4
ASEA,American Beacon Large Cap Value,American Beacon Large Cap Value Fund R5 Class,Pacific/Asia ex-Japan Stk,American Beacon,0.1858,0.0103,0.0379,0.0143,0.23,2.38
ASET,Aasgard Small & Mid-Cap Fund,Aasgard Small & Mid-Cap Fund No Load Class,,Aasgard,0.314,0.0876,0.0824,0.0542,0.48,6.85
ASHR,,American Century One Choice Blend+ 2045 Portfolio Investor Class,China Region,American Century Investments,0.376,0.1637,0.1232,0.0542,0.63,14.31
ASHS,Invesco Select Risk: Growth Inv,Invesco Select Risk: Growth Investor Fund Class R5,China Region,Invesco,0.2813,0.1058,0.0251,0.0542,0.18,2.65
ASHX,,American Century One Choice Blend+ 2045 Portfolio I Class,China Region,American Century Investments,0.4166,0.1907,0.1313,0.0542,0.64,15.87
ASPY,,American Century One Choice Blend+ 2050 Portfolio Investor Class,Long-Short Equity,American Century Investments,0.353,0.0864,0.08785,0.0542,0.6,9.4
ATFV,,American Century One Choice Blend+ 2050 Portfolio A Class,Large Growth,American Century Investments,0.353,0.0864,0.08785,0.0542,0.6,9.4
ATMP,Invesco Select Risk: Growth Inv,Invesco Select Risk: Growth Investor Fund Class R,Energy Limited Partnership,Invesco,0.6378,0.0013,0.005,0.0542,0.16,-0.29
AUGZ,American Fds 2025 Target Date R,American Funds 2025 Target Date Retirement Fund Class A,,American Funds,0.353,0.0864,0.08785,0.0542,0.6,9.4
AUSF,,American Century One Choice Blend+ 2050 Portfolio R6 Class,,American Century Investments,0.5062,0.0864,0.08785,0.0542,0.6,9.4
AVDE,,American Century One Choice Blend+ 2055 Portfolio Investor Class,,American Century Investments,0.4767,0.0864,0.08785,0.0542,0.6,9.4
AVDG,Invesco Select Risk: Growth Inv,Invesco Select Risk: Growth Investor Fund Class Y,,Invesco,0.353,0.0864,0.08785,0.0542,0.6,9.4
AVDR,,American Beacon AHL TargetRisk Core Fund C Class,,American Beacon,0.353,0.0864,0.08785,0.0542,0.6,9.4
AVDV,,American Century One Choice Blend+ 2055 Portfolio R6 Class,,American Century Investments,0.5516,0.0864,0.08785,0.0542,0.6,9.4
AVEM,,American Century One Choice Blend+ 2060 Portfolio Investor Class,,American Century Investments,0.6842,0.0864,0.08785,0.0542,0.6,9.4
AVIG,,American Century One Choice Blend+ 2060 Portfolio I Class,Intermediate-Term Bond,American Century Investments,0.353,0.0864,0.08785,0.0542,0.6,9.4
AVMU,,American Century One Choice Blend+ 2060 Portfolio A Class,Muni National Interm,American Century Investments,0.353,0.0864,0.08785,0.0542,0.6,9.4
AVSF,,American Century One Choice Blend+ 2060 Portfolio R Class,,American Century Investments,0.353,0.0864,0.08785,0.0542,0.6,9.4
AVUS,,American Century One Choice Blend+ 2060 Portfolio R6 Class,,American Century Investments,0.5184,0.0864,0.08785,0.0542,0.6,9.4
AVUV,,American Century One Choice Blend+ 2065 Portfolio Investor Class,,American Century Investments,1.3564,0.0864,0.08785,0.0542,0.6,9.4
AWAY,,American Century One Choice Blend+ 2065 Portfolio I Class,Consumer Cyclical,American Century Investments,0.6184,0.0864,0.08785,0.0542,0.6,9.4
AWTM,"The Alger Fds II, Alger Emergin",Alger Emerging Markets Fund Class A,Ultrashort Bond,Alger,0.0252,0.0864,0.08785,0.0542,0.6,9.4
AZAA,Strategic Enhanced Yield Fund C,Cavanal Hill Strategic Enhanced Yield Fund Class A,Large Blend,Cavanal Hill funds,0.1586,0.0864,0.08785,0.0542,0.6,9.4
AZAJ,,American Century One Choice Blend+ 2065 Portfolio A Class,Large Blend,American Century Investments,0.353,0.0864,0.08785,0.0542,0.6,9.4
AZAL,American Beacon International E,American Beacon International Equity Fund Class R6,Large Blend,American Beacon,0.353,0.0864,0.08785,0.0542,0.6,9.4
AZAO,Invesco Select Risk: Growth Inv,Invesco Select Risk: Growth Investor Fund Class R6,Large Blend,Invesco,0.353,0.0864,0.08785,0.0542,0.6,9.4
AZBA,American Fds 2030 Target Date R,American Funds 2030 Target Date Retirement Fund Class A,Large Blend,American Funds,0.0809,0.0864,0.08785,0.0542,0.6,9.4
AZBJ,,American Century One Choice Blend+ 2065 Portfolio R Class,Large Blend,American Century Investments,0.353,0.0864,0.08785,0.0542,0.6,9.4
AZBL,,American Century One Choice Blend+ 2065 Portfolio R6 Class,Large Blend,American Century Investments,0.353,0.0864,0.08785,0.0542,0.6,9.4
AZBO,,American Century One Choice Blend+ 2030 Portfolio I Class,Large Blend,American Century Investments,0.353,0.0864,0.08785,0.0542,0.6,9.4
BAB,American Fds 2035 Target Date R,American Funds 2035 Target Date Retirement Fund Class A,,American Funds,0.0664,0.0579,0.0508,0.0697,0.64,2.44
BAL,Alger Portfolios - Alger Growth,Alger Large Cap Growth Portfolio Class I-2,,Alger,0.2967,-0.0346,0.08785,0.0542,0.6,9.4
BALT,American Beacon Large Cap Value,American Beacon Large Cap Value Fund Investor Class,,American Beacon,0.353,0.0864,0.08785,0.0542,0.6,9.4
BAPR,Aberdeen Short Duration High Yi,Aberdeen Short Duration High Yield Municipal Fund Class A,,Aberdeen,0.1479,0.0864,0.08785,0.0542,0.6,9.4
BAR,American Fds 2045 Target Date R,American Funds 2045 Target Date Retirement Fund Class A,,American Funds,-0.0085,0.12,0.08785,0.0542,0.6,9.4
BATT,Cavanal Hill Moderate Duration ,Cavanal Hill Moderate Duration Fund Class A,,Cavanal Hill funds,0.9568,0.0864,0.08785,0.0542,0.6,9.4
BAUG,American Beacon Intl Equity Fun,American Beacon International Equity Fund R5 Class,,American Beacon,0.2063,0.0864,0.08785,0.0542,0.6,9.4
BBAX,Ancora Income Fund Class I,Ancora Income Fund Class I,,Ancora,0.552,0.0864,0.08785,0.0542,0.6,9.4
BBC,Thrivent Opportunity Income Plu,Thrivent Opportunity Income Plus Fund Class A,Health,Thrivent Funds,0.1562,0.1517,0.2291,0.0542,0.75,15.93
BBCA,American Beacon International E,American Beacon International Equity Fund Investor Class,,American Beacon,0.4962,0.0864,0.08785,0.0542,0.6,9.4
BBEU,American Beacon International E,American Beacon International Equity Fund Advisor Class,Europe Stock,American Beacon,0.3562,0.0886,0.08785,0.0542,0.6,9.4
BBIN,AMG Managers Herndon Large Cap ,Cavanal Hill Hedged Income Fund Class A,Foreign Large Blend,Cavanal Hill funds,0.3284,0.0864,0.08785,0.0542,0.6,9.4
BBJP,American Beacon Large Cap Value,American Beacon Large Cap Value Fund Class R6,Japan Stock,American Beacon,0.246,0.0666,0.08785,0.0542,0.6,9.4
BBMC,American Fds 2050 Target Date R,American Funds 2050 Target Date Retirement Fund Class A,Mid-Cap Blend,American Funds,0.5344,0.0864,0.08785,0.0542,0.6,9.4
BBP,Absolute Capital Asset Allocato,Absolute Capital Asset Allocator Fund Class A,Health,Absolute Capital,0.1254,0.0673,0.1467,0.0542,0.61,13.39
BBRE,Thrivent Municipal Bond Fund C,Thrivent Municipal Bond Fund Class A,Real Estate,Thrivent Funds,0.3776,0.102,0.08785,0.0542,0.6,9.4
BBSA,Absolute Capital Asset Allocato,Absolute Capital Asset Allocator Fund Investor Class,,Absolute Capital,0.0186,0.0864,0.08785,0.0542,0.6,9.4
BBSC,Absolute Capital Asset Allocato,Absolute Capital Asset Allocator Fund Institutional Class,,Absolute Capital,0.353,0.0864,0.08785,0.0542,0.6,9.4
BBUS,The Alger Portfolios - Alger We,Alger Weatherbie Specialized Gr Prt I-2,,Alger,0.4194,0.0864,0.08785,0.0542,0.6,9.4
BCD,American Funds 2055 Target Date,American Funds 2055 Target Date Retirement Fund Class A,Commodities Broad Basket,American Funds,0.493,0.0721,0.08785,0.0542,0.6,9.4
BCI,American Funds 2060 Target Date,American Funds 2060 Target Date Retirement Fund Class A,Commodities Broad Basket,American Funds,0.4534,0.0373,0.08785,0.0542,0.6,9.4
BCM,Cavanal Hill Opportunistic Fd C,Cavanal Hill Opportunistic Fund Class A,Commodities Broad Basket,Cavanal Hill funds,0.4596,0.0711,0.058,-0.0229,0.37,4.2
BDEC,American Funds 2065 Target Date,American Funds 2065 Target Date Retirement Fund Class A,,American Funds,0.2583,0.0864,0.08785,0.0542,0.6,9.4
BDRY,Thrivent Mid Cap Stock Fund Cl,Thrivent Mid Cap Stock Fund Class A,Miscellaneous Region,Thrivent Funds,2.9716,0.1002,0.08785,0.0542,0.6,9.4
BEDZ,Thrivent Small Cap Stock Fund ,Thrivent Small Cap Stock Fund Class A,Consumer Cyclical,Thrivent Funds,0.353,0.0864,0.08785,0.0542,0.6,9.4
BETZ,Alger Portfolios - Alger SmallC,Alger Small Cap Growth Portfolio Class I-2,Consumer Cyclical,Alger,1.0141,0.0864,0.08785,0.0542,0.6,9.4
BFEB,American Beacon Small Cap Value,American Beacon Small Cap Value Fund R6 Class,,American Beacon,0.2782,0.0864,0.08785,0.0542,0.6,9.4
BFIT,American Beacon Small Cap Value,American Beacon Small Cap Value Fund Advisor Class,,American Beacon,0.551,0.1794,0.1618,0.0542,0.94,15.41
BFOR,Cavanal Hill Limited Duration F,Cavanal Hill Limited Duration Fund Class A,Mid-Cap Growth,Cavanal Hill funds,0.5313,0.1196,0.1525,0.0542,0.78,11.94
BFTR,Ancora/Thelen Small Mid-Cap Fun,Ancora/Thelen Small-Mid Cap Fund Class I,Mid-Cap Growth,Ancora,0.353,0.0864,0.08785,0.0542,0.6,9.4
BGLD,Ancora/Thelen Small-Mid Cap Fun,Ancora/Thelen Small-Mid Cap Fund Class S,,Ancora,0.353,0.0864,0.08785,0.0542,0.6,9.4
BIB,Ultra Short Tax-Free Income Fun,Cavanal Hill Ultra Short Tax-Free Income Fund Class A,Trading--Leveraged Equity,Cavanal Hill funds,0.3575,0.1988,0.2047,0.262,0.62,9.96
BIBL,Thrivent Large Cap Value Fund C,Thrivent Large Cap Value Fund Class A,Large Blend,Thrivent Funds,0.4246,0.1901,0.08785,0.0542,0.6,9.4
BICK,Cavanal Hill World Energy Fund ,Cavanal Hill World Energy Fund A,Diversified Emerging Mkts,Cavanal Hill funds,0.5591,0.1529,0.1588,0.0389,0.76,11.51
BIL,MID CAP CORE EQUITY FUND - CLAS,Cavanal Hill Mid Cap Diverse Leadership Fund Class A,Ultrashort Bond,Cavanal Hill funds,-0.0006,0.0112,0.0097,0.0045,-2.05,-64.67
BILS,AB Municipal Income Fund II - A,AB Municipal Income Fund II Arizona Portfolio Class A,,AllianceBernstein,0.353,0.0864,0.08785,0.0542,0.6,9.4
BIS,AB Municipal Income Fund II - A,AB Municipal Income Fund II Arizona Portfolio Class C,Trading--Inverse Equity,AllianceBernstein,-0.4282,-0.3773,-0.3534,-0.3977,-0.86,22.27
BITQ,Alger Mid Cap Focus Fund Class ,AB Municipal Income Fund II Arizona Portfolio Advisor Class,,AllianceBernstein,0.353,0.0864,0.08785,0.0542,0.6,9.4
BIV,"AB Cap Fund, Inc. - AB Emerging",AB Emerging Markets Multi-Asset Portfolio Class A,Intermediate-Term Bond,AllianceBernstein,-0.0044,0.0661,0.0335,0.0421,0.58,1.88
BIZD,"American Balanced Fund, Class A",American Funds American Balanced Fund Class A,Financial,American Funds,0.5743,0.1224,0.1092,0.0542,0.5,6.76
BJAN,AB Trust - AB Discovery Value F,AB Discovery Value Fund Class A,,AllianceBernstein,0.2629,0.0864,0.08785,0.0542,0.6,9.4
BJK,American Beacon The London Comp,American Beacon The London Company Income Equity Fund A Class,Consumer Cyclical,American Beacon,0.6028,0.0744,0.1383,0.0733,0.57,7.89
BJUL,American Beacon Balanced Fund C,American Beacon Balanced Fund C Class,,American Beacon,0.1639,0.0864,0.08785,0.0542,0.6,9.4
BJUN,"AB Cap Fund, Inc. - AB Emerging",AB Emerging Markets Multi-Asset Portfolio Class C,,AllianceBernstein,0.1599,0.0864,0.08785,0.0542,0.6,9.4
BKAG,American Beacon The London Comp,American Beacon The London Company Income Equity Fund R5 Class,Intermediate-Term Bond,American Beacon,-0.0041,0.0864,0.08785,0.0542,0.6,9.4
BKCH,American Beacon The London Comp,American Beacon The London Company Income Equity Fund Class R6,Technology,American Beacon,0.353,0.0864,0.08785,0.0542,0.6,9.4
BKEM,AB Trust - AB Discovery Value F,AB Discovery Value Fund Class C,Diversified Emerging Mkts,AllianceBernstein,0.3819,0.0864,0.08785,0.0542,0.6,9.4
BKHY,American Beacon The London Comp,American Beacon The London Company Income Equity Fund Investor Class,High Yield Bond,American Beacon,0.1546,0.0864,0.08785,0.0542,0.6,9.4
BKIE,American Beacon The London Comp,American Beacon The London Company Income Equity Fund Y Class,Foreign Large Blend,American Beacon,0.3252,0.0864,0.08785,0.0542,0.6,9.4
BKLC,Columbia Capital Allocation Con,Columbia Capital Allocation Conservative Portfolio Class A,Large Blend,Columbia Threadneedle,0.4006,0.0864,0.08785,0.0542,0.6,9.4
BKLN,American Beacon The London Comp,American Beacon The London Company Income Equity Fund C Class,,American Beacon,0.0909,0.0289,0.0334,0.0296,0.48,157.83
BKMC,Aberdeen Intermediate Municipal,Aberdeen Intermediate Municipal Income Fund Institutional Class,Mid-Cap Blend,Aberdeen,0.4818,0.0864,0.08785,0.0542,0.6,9.4
BKSB,"Aberdeen Emerging Markets Fund,",Aberdeen Emerging Markets Fund Institutional Class,Short-Term Bond,Aberdeen,0.0177,0.0864,0.08785,0.0542,0.6,9.4
BKSE,Aberdeen Intermediate Municipal,Aberdeen Intermediate Municipal Income Fund Institutional Services Class,Small Blend,Aberdeen,0.5747,0.0864,0.08785,0.0542,0.6,9.4
BLCN,American Beacon International E,American Beacon International Equity Fund Class Y,Technology,American Beacon,0.6907,0.2974,0.08785,0.0542,0.6,9.4
BLDG,American Beacon Balanced Fund A,American Beacon Balanced Fund Class A,,American Beacon,0.353,0.0864,0.08785,0.0542,0.6,9.4
BLES,American Century Balanced Fund ,American Century Balanced Fund R5 Class,,American Century Investments,0.5125,0.1408,0.08785,0.0542,0.6,9.4
BLHY,"American Fds, American Income ",American High-Income Municipal Bond Fund Class F-1,,American Funds,0.1204,0.0467,0.08785,0.0542,0.6,9.4
BLOK,American Century High-Yield Bon,American Century High-Yield Fund Investor Class,Technology,American Century Investments,1.4077,0.3737,0.08785,0.0542,0.6,9.4
BLV,American Century Government Bon,American Century Government Bond Fund I Class,Long-Term Bond,American Century Investments,-0.0223,0.0993,0.0537,0.0726,0.49,1.52
BMAR,American Century High-Yield Mun,American Century High Yield Municipal Fund Investor Class,Large Blend,American Century Investments,0.2207,0.0864,0.08785,0.0542,0.6,9.4
BMAY,AB Trust - AB International Val,AB International Value Fund Class A,Large Blend,AllianceBernstein,0.1585,0.0864,0.08785,0.0542,0.6,9.4
BMED,AB Trust - AB International Val,AB International Value Fund Class C,Health,AllianceBernstein,0.353,0.0864,0.08785,0.0542,0.6,9.4
BND,"AB Cap Fund, Inc. - AB Emerging",AB Emerging Markets Multi-Asset Portfolio Class I,Intermediate-Term Bond,AllianceBernstein,-0.0059,0.0541,0.0298,0.0336,0.56,1.79
BNDC,AB Corporate Shares - AB Impact,AB Impact Municipal Income Shares,Intermediate-Term Bond,AllianceBernstein,0.0033,0.0578,0.08785,0.0542,0.6,9.4
BNDX,American Century Balanced Fund ,American Century Balanced Fund I Class,,American Century Investments,-0.0002,0.0397,0.0282,0.0542,0.59,2.48
BNE,AB Trust - AB International Val,AB International Value Fund Advisor Class,,AllianceBernstein,0.353,0.0864,0.08785,0.0542,0.6,9.4
BNOV,AMG Managers Fairpointe Mid Cap,AMG River Road Mid Cap Value Fund - Class Z,,AMG Funds,0.2108,0.0864,0.08785,0.0542,0.6,9.4
BOB,"AB Cap Fund, Inc. - AB Emerging",AB Emerging Markets Multi-Asset Portfolio Class K,Large Blend,AllianceBernstein,0.353,0.0864,0.08785,0.0542,0.6,9.4
BOCT,Alger Portfolios - Alger Balanc,Alger Balanced Portfolio Class I-2,,Alger,0.2464,0.0864,0.08785,0.0542,0.6,9.4
BOIL,American Beacon Balanced Fund A,American Beacon Balanced Fund Advisor Class,Trading--Leveraged Commodities,American Beacon,0.3106,-0.4974,-0.4692,0.0542,-0.47,-28.33
BOND,American Beacon Large Cap Value,American Beacon Large Cap Value Fund Class Y,,American Beacon,0.0197,0.0571,0.0384,0.0542,0.79,2.8
BOSS,American Beacon Mid-Cap Value F,American Beacon Mid-Cap Value Fund Class A,Mid-Cap Growth,American Beacon,0.5612,0.2278,0.08785,0.0542,0.6,9.4
BOTZ,AMG Managers Fairpointe Mid Cap,AMG River Road Mid Cap Value Fund - Class I,Miscellaneous Sector,AMG Funds,0.4666,0.1774,0.08785,0.0542,0.6,9.4
BOUT,"AB Bond Fund, Inc. - AB Bond In",AB Bond Inflation Strategy Class A,,AllianceBernstein,0.4983,0.0864,0.08785,0.0542,0.6,9.4
BRF,"AB Bond Fund, Inc. - AB Bond In",AB Bond Inflation Strategy Class C,Latin America Stock,AllianceBernstein,0.5006,0.1388,0.1408,-0.0417,0.53,7.86
BRZU,"The Bond Fund of America, Class",American Funds The Bond Fund of America Class A,Trading--Leveraged Equity,American Funds,0.8231,-0.3921,-0.3126,0.0542,0.28,-12.21
BSAE,"The Bond Fd of America, Class F",American Funds The Bond Fund of America Class F-2,Emerging Markets Bond,American Funds,0.016,0.0864,0.08785,0.0542,0.6,9.4
BSBE,Aberdeen International Small Ca,Aberdeen International Small Cap Fund Institutional Class,Emerging Markets Bond,Aberdeen,0.037,0.0864,0.08785,0.0542,0.6,9.4
BSCE,"AB Bond Fund, Inc. - AB Bond In",AB Bond Inflation Strategy Class K,Emerging Markets Bond,AllianceBernstein,0.0512,0.0864,0.08785,0.0542,0.6,9.4
BSCL,"AB Bond Fund, Inc. - AB Bond In",AB Bond Inflation Strategy Class 1,,AllianceBernstein,0.0046,0.0297,0.0203,0.0542,0.54,2.48
